Id,Expected
HINT-20050101,4934100.0
HINT-20050102,3569370.0
HINT-20050103,2710200.0
HINT-20050104,1877730.0
HINT-20050105,6083370.0
HINT-20050106,11640540.0
HINT-20050107,10764210.0
HINT-20050108,11884414.8
HINT-20050109,11022124.8
HINT-20050110,5038560.0
HINT-20050111,9126660.0
HINT-20050112,8970390.0
HINT-20050113,11973780.0
HINT-20050114,10849080.0
HINT-20050115,10333860.0
HINT-20050116,13658640.0
HINT-20050117,12933840.0
HINT-20050118,12080070.0
HINT-20050119,11790390.0
HINT-20050120,11983920.0
HINT-20050121,11498820.0
HINT-20050122,10666230.0
HINT-20050123,12039450.0
HINT-20050124,11356620.0
HINT-20050125,11219010.0
HINT-20050126,11868870.0
HINT-20050127,6471750.0
HINT-20050128,2760420.0
HINT-20050129,12479520.0
HINT-20050130,3797820.0
HINT-20050131,9534000.0
HINT-20050201,3916080.0
HINT-20050202,11412150.0
HINT-20050203,15051390.0
HINT-20050204,9415050.0
HINT-20050205,8161440.0
HINT-20050206,3791160.0
HINT-20050207,13463640.0
HINT-20050208,10992240.0
HINT-20050209,11799090.0
HINT-20050210,11641890.0
HINT-20050211,8316660.0
HINT-20050212,5824200.0
HINT-20050213,15749040.0
HINT-20050214,15806580.0
HINT-20050215,16072500.0
HINT-20050216,7476450.0
HINT-20050217,10751520.0
HINT-20050218,7496010.0
HINT-20050219,10402980.0
HINT-20050220,16482450.0
HINT-20050221,13737900.0
HINT-20050222,10513710.0
HINT-20050223,2782290.0
HINT-20050224,13420620.0
HINT-20050225,14660610.0
HINT-20050226,11139960.0
HINT-20050227,14467200.0
HINT-20050228,13292040.0
HINT-20050301,17842020.0
HINT-20050302,16674960.0
HINT-20050303,19425870.0
HINT-20050304,13768290.0
HINT-20050305,16360620.0
HINT-20050306,12488850.0
HINT-20050307,20105190.0
HINT-20050308,18072480.0
HINT-20050309,18112080.0
HINT-20050310,19593330.0
HINT-20050311,20238240.0
HINT-20050312,20532150.0
HINT-20050313,17552790.0
HINT-20050314,16994670.0
HINT-20050315,3769950.0
HINT-20050316,18915360.0
HINT-20050317,21081930.0
HINT-20050318,17002170.0
HINT-20050319,20993520.0
HINT-20050320,20098260.0
HINT-20050321,17358150.0
HINT-20050322,5912670.0
HINT-20050323,16590570.0
HINT-20050324,19206030.0
HINT-20050325,12524640.0
HINT-20050326,7845900.0
