Id,Expected
HINT-20050101,14188509.624449024
HINT-20050102,13545467.072910136
HINT-20050103,10810071.711350251
HINT-20050104,8404095.1008324
HINT-20050105,12093221.066023191
HINT-20050106,11517510.428525014
HINT-20050107,10031192.318344263
HINT-20050108,10905073.262940595
HINT-20050109,11344706.073154489
HINT-20050110,12584687.507765362
HINT-20050111,10891955.077710388
HINT-20050112,10127038.847926976
HINT-20050113,11426171.15333903
HINT-20050114,13313998.603005355
HINT-20050115,13343048.127933687
HINT-20050116,1779124.5856128042
HINT-20050117,12331194.78295151
HINT-20050118,11441086.729122108
HINT-20050119,13016697.999911347
HINT-20050120,13028878.534603352
HINT-20050121,3444682.5539766736
HINT-20050122,6019529.086034954
HINT-20050123,11735306.641604487
HINT-20050124,9844797.896856165
HINT-20050125,10241858.842961853
HINT-20050126,13971502.09282905
HINT-20050127,13036178.613892626
HINT-20050128,7774241.177401584
HINT-20050129,12185906.338185811
HINT-20050130,13795048.579245694
HINT-20050131,5880182.149467465
HINT-20050201,14589874.774295319
HINT-20050202,12803882.664941123
HINT-20050203,11284758.651387768
HINT-20050204,14424381.393690938
HINT-20050205,3330333.94615389
HINT-20050206,14659802.003601057
HINT-20050207,13164650.653531728
HINT-20050208,14559017.522682901
HINT-20050209,16314811.77019679
HINT-20050210,12416482.356998613
HINT-20050211,5164757.036668085
HINT-20050212,13449127.376651408
HINT-20050213,15353656.33997686
HINT-20050214,13478928.377256176
HINT-20050215,3545518.862531175
HINT-20050216,-1178976.4473462321
HINT-20050217,12462757.964045478
HINT-20050218,16898435.048179053
HINT-20050219,15818967.691130018
HINT-20050220,598599.1541311428
HINT-20050221,803230.3059759126
HINT-20050222,14310195.559896665
HINT-20050223,6643067.557869541
HINT-20050224,16717931.702237083
HINT-20050225,14446342.848717818
HINT-20050226,18323553.349630006
HINT-20050227,17608604.637946032
HINT-20050228,14602248.304753413
HINT-20050301,17303365.11226038
HINT-20050302,19595456.659873486
HINT-20050303,6010036.551135421
HINT-20050304,7117066.419229581
HINT-20050305,18449616.082992136
HINT-20050306,15512080.395148376
HINT-20050307,8891851.373398002
HINT-20050308,15442538.44432238
HINT-20050309,16884602.858344004
HINT-20050310,17506948.007935636
HINT-20050311,18775645.09426839
HINT-20050312,19847210.328288287
HINT-20050313,21100713.623603478
HINT-20050314,15794239.653941484
HINT-20050315,17808557.160531357
HINT-20050316,16517005.153211264
HINT-20050317,10511343.420170838
HINT-20050318,3327309.5548471287
HINT-20050319,3174868.719771829
HINT-20050320,21377765.64880614
HINT-20050321,22722572.366383396
HINT-20050322,21726245.866678424
HINT-20050323,20417978.677396134
HINT-20050324,19651890.378646307
HINT-20050325,21753777.121181674
HINT-20050326,23099432.660285436
HINT-20050327,19491137.925025046
HINT-20050328,23187083.222621374
HINT-20050329,15427645.141887316
HINT-20050330,12502307.895449175
HINT-20050331,15110204.961459232
HINT-20050401,19713633.28135366
HINT-20050402,21289437.087893106
HINT-20050403,8793540.695780588
HINT-20050404,15980617.239129784
HINT-20050405,22278104.85740856
HINT-20050406,22784380.417065904
HINT-20050407,22821438.588544205
HINT-20050408,12297530.065970847
HINT-20050409,15632323.285150263
HINT-20050410,6272938.977272676
HINT-20050411,19868545.483795084
HINT-20050412,22501553.55356811
HINT-20050413,22895303.04544171
HINT-20050414,24229027.301904164
HINT-20050415,24868144.378925696
HINT-20050416,24655241.32823524
HINT-20050417,23391171.319965854
HINT-20050418,8302224.368278351
HINT-20050419,25533980.482072562
HINT-20050420,26446001.63335312
HINT-20050421,16831270.480545647
HINT-20050422,25464482.577502146
HINT-20050423,17051810.200955406
HINT-20050424,8715139.248936722
HINT-20050425,22838330.466924615
HINT-20050426,24791654.99365551
HINT-20050427,25324377.21436826
HINT-20050428,21912548.085559383
HINT-20050429,27814607.735237077
HINT-20050430,26716060.090529703
HINT-20050501,25580146.431243017
HINT-20050502,27716469.113020413
HINT-20050503,26388967.822484113
HINT-20050504,26352035.33902911
HINT-20050505,26529312.09579044
HINT-20050506,20921924.390708745
HINT-20050507,8667305.224514127
HINT-20050508,13634327.778968481
HINT-20050509,24040174.76698935
HINT-20050510,26657304.12422601
HINT-20050511,24085835.841776982
HINT-20050512,28702148.926571466
HINT-20050513,25073894.543117806
HINT-20050514,20428182.513867766
HINT-20050515,12455843.072079038
HINT-20050516,23497055.455663852
HINT-20050517,26664168.01739829
HINT-20050518,24138873.5491514
HINT-20050519,28601339.08034055
HINT-20050520,29346488.015947998
HINT-20050521,22750181.97331109
HINT-20050522,23194024.93582931
HINT-20050523,17068248.542810507
HINT-20050524,19532322.253929697
HINT-20050525,23310863.927145883
HINT-20050526,25413917.486940973
HINT-20050527,25507559.360236913
HINT-20050528,24064858.541529827
HINT-20050529,18666601.4851223
HINT-20050530,26494530.828973085
HINT-20050531,28563948.160838336
HINT-20050601,27298127.645390406
HINT-20050602,26919557.539056003
HINT-20050603,27450561.408896007
HINT-20050604,28921510.060374014
HINT-20050605,28191166.435409017
HINT-20050606,23800859.578792326
HINT-20050607,25920791.682022274
HINT-20050608,21942221.079300568
HINT-20050609,20917202.771092616
HINT-20050610,16392370.63263247
HINT-20050611,23521211.198568
HINT-20050612,24991634.704956226
HINT-20050613,26105487.29452665
HINT-20050614,23565728.986478455
HINT-20050615,24598844.408655986
HINT-20050616,26375097.57503114
HINT-20050617,25851895.52189684
HINT-20050618,20707864.17047757
HINT-20050619,25360537.20642045
HINT-20050620,19771239.627939075
HINT-20050621,25553387.79252033
HINT-20050622,23110277.010357648
HINT-20050623,28941081.533911288
HINT-20050624,26860749.478781864
HINT-20050625,22935892.542042077
HINT-20050626,24553465.081382588
HINT-20050627,26464744.873895265
HINT-20050628,25962040.6592142
HINT-20050629,22170282.75089843
HINT-20050630,25627692.884649947
HINT-20050701,28218314.17756565
HINT-20050702,27170679.86810361
HINT-20050703,27121371.344312295
HINT-20050704,23147553.467724524
HINT-20050705,24231323.26275018
HINT-20050706,27063355.20276448
HINT-20050707,26298015.711894326
HINT-20050708,24878073.400269486
HINT-20050709,15053942.445734227
HINT-20050710,11978570.403068854
HINT-20050711,14547017.950100077
HINT-20050712,20410820.5577707
HINT-20050713,20979183.593701765
HINT-20050714,19898844.65743661
HINT-20050715,25903947.212762654
HINT-20050716,20221015.44305653
HINT-20050717,19781588.373621136
HINT-20050718,21086109.524630845
HINT-20050719,23156568.376696594
HINT-20050720,25658520.97100824
HINT-20050721,27469812.209818423
HINT-20050722,27063487.650278665
HINT-20050723,26868423.00207051
HINT-20050724,26002633.688451424
HINT-20050725,24913032.966872774
HINT-20050726,23757945.911388204
HINT-20050727,24948632.629109092
HINT-20050728,21682617.40445567
HINT-20050729,17540907.307432085
HINT-20050730,14258405.24978436
HINT-20050731,20696536.31956459
HINT-20050801,25175268.134109333
HINT-20050802,26545972.08896523
HINT-20050803,26890838.766110383
HINT-20050804,27500372.648407876
HINT-20050805,28046312.206027217
HINT-20050806,25960979.21713791
HINT-20050807,23690123.1891815
HINT-20050808,19499973.73997301
HINT-20050809,16238707.166542979
HINT-20050810,17671966.791267894
HINT-20050811,12668114.72067068
HINT-20050812,7726284.7791970065
HINT-20050813,21991523.204096682
HINT-20050814,24503022.767372392
HINT-20050815,23452103.140610635
HINT-20050816,17192119.144275986
HINT-20050817,14257100.341264416
HINT-20050818,15459251.463731717
HINT-20050819,8283367.469491849
HINT-20050820,9143770.045248266
HINT-20050821,14431499.387995014
HINT-20050822,21390627.024576955
HINT-20050823,22810048.98871614
