Id,Expected
HINT-20050101,14216796.05971022
HINT-20050102,13666682.950056896
HINT-20050103,10988145.730552688
HINT-20050104,8180913.14804177
HINT-20050105,12246296.311456546
HINT-20050106,11660924.377924308
HINT-20050107,9943266.313976184
HINT-20050108,11001319.047560439
HINT-20050109,11483840.06891857
HINT-20050110,12764620.348275885
HINT-20050111,11085232.518047348
HINT-20050112,9997323.566509262
HINT-20050113,11679606.858773604
HINT-20050114,13488464.194662586
HINT-20050115,13411824.188521251
HINT-20050116,1792772.202866003
HINT-20050117,12285237.653349265
HINT-20050118,11389330.32377471
HINT-20050119,13501820.378130391
HINT-20050120,13183640.479632482
HINT-20050121,3525912.1895445436
HINT-20050122,6513089.431476459
HINT-20050123,12242769.117268816
HINT-20050124,9651941.698181346
HINT-20050125,10401061.552653745
HINT-20050126,13950741.574625269
HINT-20050127,12556414.439392284
HINT-20050128,7494373.813688591
HINT-20050129,12328804.93836303
HINT-20050130,14164997.391963646
HINT-20050131,5996641.386118606
HINT-20050201,14548706.062720314
HINT-20050202,12855838.434052125
HINT-20050203,12113980.781747267
HINT-20050204,14470729.503588215
HINT-20050205,3194589.5468782336
HINT-20050206,14844683.127279505
HINT-20050207,13123958.845432594
HINT-20050208,14776349.260515943
HINT-20050209,16383141.163229749
HINT-20050210,12749780.35427101
HINT-20050211,4810539.590145007
HINT-20050212,13553690.242646024
HINT-20050213,15162990.649447665
HINT-20050214,13341663.74510561
HINT-20050215,3302900.96933116
HINT-20050216,-1340688.6711523086
HINT-20050217,12325671.765740976
HINT-20050218,16859518.27046223
HINT-20050219,15840380.954890743
HINT-20050220,808369.4511919767
HINT-20050221,899389.4286869615
HINT-20050222,14575856.663688377
HINT-20050223,6656407.016064778
HINT-20050224,16404878.054902151
HINT-20050225,14389178.402840808
HINT-20050226,18257921.202479765
HINT-20050227,17596976.720827058
HINT-20050228,14549792.890624091
HINT-20050301,17321971.913385168
HINT-20050302,19564107.57674025
HINT-20050303,5963000.851945773
HINT-20050304,7183288.206597403
HINT-20050305,18562834.839688316
HINT-20050306,15904594.140231207
HINT-20050307,8596908.867516473
HINT-20050308,15382822.928850576
HINT-20050309,17007619.03116937
HINT-20050310,17689883.423720494
HINT-20050311,18878365.157076195
HINT-20050312,19786718.171087995
HINT-20050313,21126570.832916483
HINT-20050314,16057271.939982101
HINT-20050315,18043587.04890968
HINT-20050316,16520655.469279751
HINT-20050317,12423596.059690192
HINT-20050318,2534503.7695466727
HINT-20050319,3576336.8057378083
HINT-20050320,21183359.872256443
HINT-20050321,22826659.430951253
HINT-20050322,21975172.21686749
HINT-20050323,20495164.633798942
HINT-20050324,19779157.774049535
HINT-20050325,21785881.453566298
HINT-20050326,23403168.886085913
HINT-20050327,19604204.859453425
HINT-20050328,23128684.75144644
HINT-20050329,15346516.779761806
