Id,Expected
HINT-20050101,13987007.4
HINT-20050102,13556427.6
HINT-20050103,11446695.792
HINT-20050104,7920663.0
HINT-20050105,11510886.096
HINT-20050106,10964290.488
HINT-20050107,9809951.064
HINT-20050108,10280238.192
HINT-20050109,10871690.376
HINT-20050110,12228836.4
HINT-20050111,10171712.496
HINT-20050112,9206263.536
HINT-20050113,10797497.28
HINT-20050114,12672851.4
HINT-20050115,12753198.0
HINT-20050116,2126302.896
HINT-20050117,10882808.76
HINT-20050118,10026360.6
HINT-20050119,13082478.768
HINT-20050120,12493190.4
HINT-20050121,3010101.0
HINT-20050122,6124633.896
HINT-20050123,10219923.912
HINT-20050124,9289284.264
HINT-20050125,9064725.6
HINT-20050126,12397045.8
HINT-20050127,12344481.0
HINT-20050128,7061494.8
HINT-20050129,11681644.896
HINT-20050130,13372942.368
HINT-20050131,6271968.888
HINT-20050201,14715964.2
HINT-20050202,13464828.0
HINT-20050203,10981698.6
HINT-20050204,14820949.2
HINT-20050205,4354274.112
HINT-20050206,14970466.8
HINT-20050207,13293316.2
HINT-20050208,14360124.6
HINT-20050209,16247598.6
HINT-20050210,12558572.376
HINT-20050211,5580677.4
HINT-20050212,12075912.936
HINT-20050213,15346141.2
HINT-20050214,13245929.4
HINT-20050215,3689618.4
HINT-20050216,2221366.8
HINT-20050217,11069149.776
HINT-20050218,17108768.4
HINT-20050219,16346845.2
HINT-20050220,3973907.136
HINT-20050221,2840948.088
HINT-20050222,14551950.6
HINT-20050223,4490725.416
HINT-20050224,16191614.472
HINT-20050225,12807825.336
HINT-20050226,18940741.2
HINT-20050227,17222439.168
HINT-20050228,13534901.4
HINT-20050301,16042042.608
HINT-20050302,20487109.872
HINT-20050303,5498680.2
HINT-20050304,6445954.896
HINT-20050305,18809225.472
HINT-20050306,14531268.0
HINT-20050307,7673159.664
HINT-20050308,15213027.6
HINT-20050309,17603726.136
HINT-20050310,18334482.408
HINT-20050311,19133919.84
HINT-20050312,19231979.808
HINT-20050313,21488920.056
HINT-20050314,13440740.904
HINT-20050315,17485247.904
HINT-20050316,14767826.904
HINT-20050317,11808653.64
HINT-20050318,4028541.0
HINT-20050319,4023344.328
HINT-20050320,21892002.84
HINT-20050321,23527021.032
HINT-20050322,21170854.632
HINT-20050323,20695821.552
HINT-20050324,19745489.472
HINT-20050325,23076834.6
HINT-20050326,23870169.968
HINT-20050327,19446663.936
HINT-20050328,23541025.6
HINT-20050329,13272563.352
HINT-20050330,12477351.144
HINT-20050331,14178099.408
HINT-20050401,20160427.008
HINT-20050402,21949096.776
HINT-20050403,8941009.896
HINT-20050404,13760550.144
HINT-20050405,23621201.04
HINT-20050406,23716228.096
HINT-20050407,23445143.776
HINT-20050408,10851630.768
HINT-20050409,14640539.712
HINT-20050410,6601749.0
HINT-20050411,20656959.12
HINT-20050412,23325966.328
HINT-20050413,24603899.904
HINT-20050414,25033671.496
HINT-20050415,24878116.248
HINT-20050416,25582513.704
HINT-20050417,23676026.856
HINT-20050418,8692110.984
HINT-20050419,26445695.808
HINT-20050420,27626670.24
HINT-20050421,18343086.264
HINT-20050422,24713274.576
HINT-20050423,14718415.512
HINT-20050424,7296836.496
HINT-20050425,22258883.92
HINT-20050426,25121156.784
HINT-20050427,25559229.456
HINT-20050428,21743161.976
HINT-20050429,25465332.912
HINT-20050430,26232640.488
HINT-20050501,25198802.448
HINT-20050502,27769024.608
HINT-20050503,27609398.28
HINT-20050504,27737546.472
HINT-20050505,25594798.224
HINT-20050506,20596040.976
HINT-20050507,7742883.0
HINT-20050508,11506959.6
HINT-20050509,23744622.264
HINT-20050510,26539594.344
HINT-20050511,24087187.912
HINT-20050512,29138901.6
HINT-20050513,25621241.136
HINT-20050514,19203630.12
HINT-20050515,11379126.84
HINT-20050516,22873600.368
HINT-20050517,26516500.92
HINT-20050518,23513232.712
HINT-20050519,28755857.4
HINT-20050520,29774640.6
HINT-20050521,20870233.32
HINT-20050522,23199802.44
HINT-20050523,17359055.52
HINT-20050524,19307609.664
HINT-20050525,20977125.168
HINT-20050526,26554669.008
HINT-20050527,26589656.712
HINT-20050528,23359260.504
HINT-20050529,17294231.544
HINT-20050530,26718886.488
HINT-20050531,29192841.6
HINT-20050601,24932222.544
HINT-20050602,28187260.704
HINT-20050603,28131602.712
HINT-20050604,28824839.4
HINT-20050605,28449685.704
HINT-20050606,22312923.304
HINT-20050607,27328754.544
HINT-20050608,20949896.88
HINT-20050609,20264172.768
HINT-20050610,17503128.912
HINT-20050611,23839915.536
HINT-20050612,25139790.144
HINT-20050613,27171926.304
HINT-20050614,22903689.032
HINT-20050615,23856385.416
HINT-20050616,27530767.968
HINT-20050617,25864873.2
HINT-20050618,20174111.808
