Id,Expected
HINT-20050101,4278238.4
HINT-20050102,3557521.6
HINT-20050103,3812477.4
HINT-20050104,1618371.504
HINT-20050105,5877743.592
HINT-20050106,11596188.288
HINT-20050107,8283949.896
HINT-20050108,11330706.696
HINT-20050109,9311459.496
HINT-20050110,6316105.896
HINT-20050111,6455113.8
HINT-20050112,6307519.704
HINT-20050113,12276535.632
HINT-20050114,9994672.2
HINT-20050115,12507103.2
HINT-20050116,11585816.016
HINT-20050117,12199972.2
HINT-20050118,12056550.0
HINT-20050119,11549832.6
HINT-20050120,12182097.0
HINT-20050121,9564723.0
HINT-20050122,12990079.2
HINT-20050123,13330208.4
HINT-20050124,11189940.0
HINT-20050125,12708110.4
HINT-20050126,12059467.8
HINT-20050127,3121611.6
HINT-20050128,3505582.2
HINT-20050129,10565564.4
HINT-20050130,3143630.208
HINT-20050131,7872113.856
HINT-20050201,3341308.2
HINT-20050202,7063540.608
HINT-20050203,14946259.2
HINT-20050204,12021525.0
HINT-20050205,6991520.4
HINT-20050206,3356491.968
HINT-20050207,10488589.8
HINT-20050208,7954604.376
HINT-20050209,12972004.2
HINT-20050210,11998987.032
HINT-20050211,9087955.2
HINT-20050212,5465569.2
HINT-20050213,12106110.6
HINT-20050214,14694160.2
HINT-20050215,13978305.6
HINT-20050216,7301303.568
HINT-20050217,13196958.0
HINT-20050218,5271923.4
HINT-20050219,8434717.968
HINT-20050220,15339567.0
HINT-20050221,16460556.0
HINT-20050222,11313312.0
HINT-20050223,2823103.8
HINT-20050224,14134687.8
HINT-20050225,12780096.6
HINT-20050226,10489162.8
HINT-20050227,11610477.336
HINT-20050228,10533703.896
HINT-20050301,15071734.8
HINT-20050302,13307260.8
HINT-20050303,17665814.568
HINT-20050304,13761896.136
HINT-20050305,16618203.6
HINT-20050306,8391950.232
HINT-20050307,18302182.8
HINT-20050308,14310258.168
HINT-20050309,18448375.2
HINT-20050310,18780132.336
HINT-20050311,21203006.4
HINT-20050312,20864477.304
HINT-20050313,20268346.2
HINT-20050314,14007382.44
HINT-20050315,4892798.4
HINT-20050316,17982642.84
HINT-20050317,21417464.4
HINT-20050318,2065722.0
HINT-20050319,19440748.2
HINT-20050320,17015170.104
HINT-20050321,17367173.04
HINT-20050322,7231499.904
HINT-20050323,18938645.304
HINT-20050324,18040800.384
HINT-20050325,16814648.208
HINT-20050326,7132946.736
HINT-20050327,22374648.408
HINT-20050328,2327844.272
HINT-20050329,15258128.808
HINT-20050330,21073407.672
HINT-20050331,16854286.608
HINT-20050401,21487183.944
HINT-20050402,24417585.168
HINT-20050403,21964691.352
HINT-20050404,22075685.392
HINT-20050405,18587295.504
HINT-20050406,9343381.608
HINT-20050407,24855315.44
HINT-20050408,21928255.536
HINT-20050409,23275745.328
HINT-20050410,13706811.168
HINT-20050411,21665149.704
HINT-20050412,25738717.104
HINT-20050413,22692193.521
HINT-20050414,24106283.712
HINT-20050415,21773138.472
HINT-20050416,22778169.88
HINT-20050417,19309101.936
HINT-20050418,11892247.2
HINT-20050419,13909551.0
HINT-20050420,19241850.84
HINT-20050421,22618419.168
HINT-20050422,25869754.872
HINT-20050423,23867668.776
HINT-20050424,14598781.248
HINT-20050425,19664884.608
HINT-20050426,23688970.056
