Id,Expected
HINT-20050101,739546.5022621825
HINT-20050102,664365.6940804198
HINT-20050103,2792878.6466026977
HINT-20050104,-2746522.444591455
HINT-20050105,4213310.741596289
HINT-20050106,11659818.74612815
HINT-20050107,9932750.304050513
HINT-20050108,11557321.067119665
HINT-20050109,10956902.419284888
HINT-20050110,4661839.298832007
HINT-20050111,7545785.713588782
HINT-20050112,6353210.596500464
HINT-20050113,12687896.152416296
HINT-20050114,10220309.86104972
HINT-20050115,11660427.263118811
HINT-20050116,12282169.011013098
HINT-20050117,12121961.787433691
HINT-20050118,12744047.58395774
HINT-20050119,11494571.54588706
HINT-20050120,12502178.204265662
HINT-20050121,10484216.08469779
HINT-20050122,13321714.681202002
HINT-20050123,13762750.6715203
HINT-20050124,12393561.773670264
HINT-20050125,12762151.169551916
HINT-20050126,12302657.762691565
HINT-20050127,3087759.3197518066
HINT-20050128,1926337.236644812
HINT-20050129,13077076.694622107
HINT-20050130,3779151.7554665282
HINT-20050131,11287903.123699255
HINT-20050201,3724127.633823462
HINT-20050202,10816103.499858923
HINT-20050203,15173578.76981742
HINT-20050204,12398732.123851843
HINT-20050205,7852493.698139258
HINT-20050206,2819984.438900061
HINT-20050207,13536700.678257056
HINT-20050208,10623573.551250525
HINT-20050209,14477564.983722754
HINT-20050210,13364627.75001914
HINT-20050211,10040855.701816626
HINT-20050212,4647223.4456978515
HINT-20050213,13815434.025157996
HINT-20050214,15628695.250598975
HINT-20050215,15004459.898891516
HINT-20050216,9675031.514080115
HINT-20050217,13648806.506473608
HINT-20050218,6616342.606746741
HINT-20050219,11871720.532100745
HINT-20050220,16313803.818538733
HINT-20050221,16594891.159137793
HINT-20050222,12771460.416553564
HINT-20050223,2694010.891834326
HINT-20050224,16891361.370571204
HINT-20050225,14412770.857334204
HINT-20050226,10836372.72456748
HINT-20050227,12731005.839534827
HINT-20050228,12319955.280094214
HINT-20050301,17787557.365482397
HINT-20050302,17393298.544262
HINT-20050303,18594587.484432288
HINT-20050304,16634791.434444495
HINT-20050305,16652822.940097876
HINT-20050306,10813938.053089209
HINT-20050307,18620767.651416846
HINT-20050308,18123960.568103857
HINT-20050309,19102390.825855322
HINT-20050310,19420205.430309363
HINT-20050311,21036191.479518957
HINT-20050312,21081464.70338828
HINT-20050313,19704971.00014884
HINT-20050314,18261686.159618445
HINT-20050315,4359631.444667883
HINT-20050316,19072241.558666296
HINT-20050317,21761050.65803153
HINT-20050318,20204152.9640084
HINT-20050319,20494586.28214652
HINT-20050320,19409449.49232108
HINT-20050321,19027682.44997794
HINT-20050322,8054717.63699729
HINT-20050323,19815425.342853613
HINT-20050324,18546063.073085852
HINT-20050325,18261099.038135596
HINT-20050326,9583501.091869421
HINT-20050327,22475973.41721732
