Id,Expected
HINT-20050101,2411463.2
HINT-20050102,2253750.2
HINT-20050103,2478039.8
HINT-20050104,1569597.5
HINT-20050105,3272056.0
HINT-20050106,7478831.0
HINT-20050107,6367797.0
HINT-20050108,7641676.0
HINT-20050109,6873277.0
HINT-20050110,3204961.0
HINT-20050111,4509292.0
HINT-20050112,3764258.0
HINT-20050113,7673093.0
HINT-20050114,6336166.5
HINT-20050115,7933593.0
HINT-20050116,7226456.0
HINT-20050117,7933593.0
HINT-20050118,7933593.0
HINT-20050119,7933593.0
HINT-20050120,8170543.0
HINT-20050121,6646341.0
HINT-20050122,8394973.0
HINT-20050123,8312780.5
HINT-20050124,7532122.0
HINT-20050125,8444285.0
HINT-20050126,7566635.0
HINT-20050127,2222853.5
HINT-20050128,2848848.5
HINT-20050129,7811713.5
HINT-20050130,2058233.2
HINT-20050131,6420766.0
HINT-20050201,2375992.8
HINT-20050202,5175386.0
HINT-20050203,9008192.0
HINT-20050204,7150750.0
HINT-20050205,4295999.0
HINT-20050206,2478039.8
HINT-20050207,7518531.5
HINT-20050208,6072608.5
HINT-20050209,8926547.0
HINT-20050210,7674547.0
HINT-20050211,6457185.0
HINT-20050212,3195004.5
HINT-20050213,8840061.0
HINT-20050214,9623378.0
HINT-20050215,9623378.0
HINT-20050216,5512404.0
HINT-20050217,8082781.5
HINT-20050218,2935093.5
HINT-20050219,6427573.0
HINT-20050220,8839179.0
HINT-20050221,10600949.0
HINT-20050222,7816543.0
HINT-20050223,2418787.5
HINT-20050224,10123482.0
HINT-20050225,8105574.0
HINT-20050226,6680116.0
HINT-20050227,7239334.0
HINT-20050228,6701330.0
HINT-20050301,10998280.0
HINT-20050302,11142221.0
HINT-20050303,11429183.0
HINT-20050304,9057984.0
HINT-20050305,10069007.0
HINT-20050306,5884758.0
HINT-20050307,11266397.0
HINT-20050308,10512057.0
HINT-20050309,12103461.0
HINT-20050310,12718500.0
HINT-20050311,13472126.0
HINT-20050312,13334269.0
HINT-20050313,13365536.0
HINT-20050314,9759543.0
HINT-20050315,3493025.8
HINT-20050316,12052268.0
HINT-20050317,13649228.0
HINT-20050318,13245652.0
HINT-20050319,13365536.0
HINT-20050320,12040457.0
HINT-20050321,10219992.0
HINT-20050322,4903949.5
HINT-20050323,12352104.0
HINT-20050324,11605713.0
HINT-20050325,10775782.0
HINT-20050326,4888044.0
HINT-20050327,14519391.0
HINT-20050328,14962918.0
HINT-20050329,10537997.0
HINT-20050330,13220721.0
HINT-20050331,10139624.0
HINT-20050401,13130602.0
HINT-20050402,15151818.0
HINT-20050403,14006313.0
HINT-20050404,14534073.0
HINT-20050405,11685825.0
HINT-20050406,7588047.5
HINT-20050407,15868229.0
HINT-20050408,13132243.0
HINT-20050409,15438397.0
HINT-20050410,10024653.0
HINT-20050411,14717112.0
HINT-20050412,16299808.0
HINT-20050413,15232098.0
HINT-20050414,15692937.0
HINT-20050415,12566924.0
HINT-20050416,15708852.0
HINT-20050417,13507746.0
HINT-20050418,7109424.0
HINT-20050419,6714280.0
HINT-20050420,12896783.0
HINT-20050421,13921935.0
HINT-20050422,16408890.0
HINT-20050423,16207142.0
HINT-20050424,10840300.0
