Id,Expected
HINT-20050101,4078803.5
HINT-20050102,3615773.8
HINT-20050103,2451195.8
HINT-20050104,1454119.9
HINT-20050105,4765489.5
HINT-20050106,11453012.0
HINT-20050107,9248685.0
HINT-20050108,10888320.0
HINT-20050109,10667052.0
HINT-20050110,5747129.0
HINT-20050111,4657154.5
HINT-20050112,6501954.0
HINT-20050113,12770878.0
HINT-20050114,10001750.0
HINT-20050115,11834409.0
HINT-20050116,12266036.0
HINT-20050117,11086317.0
HINT-20050118,11017411.0
HINT-20050119,10625110.0
HINT-20050120,12500250.0
HINT-20050121,10120496.0
HINT-20050122,13389360.0
HINT-20050123,12590683.0
HINT-20050124,11529178.0
HINT-20050125,12609285.0
HINT-20050126,12015036.0
HINT-20050127,2714433.2
HINT-20050128,3556000.2
HINT-20050129,9465471.0
HINT-20050130,2913126.5
HINT-20050131,7671435.0
HINT-20050201,3289353.8
HINT-20050202,7513253.0
HINT-20050203,13780295.0
HINT-20050204,12635954.0
HINT-20050205,6090355.5
HINT-20050206,3879761.2
HINT-20050207,5332675.0
HINT-20050208,6698894.5
HINT-20050209,13612515.0
HINT-20050210,12748589.0
HINT-20050211,10514968.0
HINT-20050212,4929510.0
HINT-20050213,13122061.0
HINT-20050214,15054213.0
HINT-20050215,14255176.0
HINT-20050216,6336615.5
HINT-20050217,10703732.0
HINT-20050218,5153800.0
HINT-20050219,8867273.0
HINT-20050220,16025392.0
HINT-20050221,16048576.0
HINT-20050222,10924133.0
HINT-20050223,2831635.5
HINT-20050224,13604124.0
HINT-20050225,14181100.0
HINT-20050226,9387504.0
HINT-20050227,13099445.0
HINT-20050228,11954220.0
HINT-20050301,14296106.0
HINT-20050302,13017812.0
HINT-20050303,17445892.0
HINT-20050304,15942124.0
HINT-20050305,17510540.0
HINT-20050306,10020677.0
HINT-20050307,17807222.0
HINT-20050308,13602201.0
HINT-20050309,19234092.0
HINT-20050310,19630498.0
HINT-20050311,21190272.0
HINT-20050312,21499906.0
HINT-20050313,19760614.0
HINT-20050314,13931936.0
HINT-20050315,4243860.5
HINT-20050316,17452578.0
HINT-20050317,22067204.0
HINT-20050318,20269016.0
HINT-20050319,20994696.0
HINT-20050320,17557648.0
HINT-20050321,17864152.0
HINT-20050322,5755868.5
HINT-20050323,16269423.0
HINT-20050324,19199652.0
HINT-20050325,14692611.0
HINT-20050326,5995460.0
HINT-20050327,22343714.0
HINT-20050328,23432158.0
HINT-20050329,15580122.0
HINT-20050330,20253838.0
HINT-20050331,18052144.0
HINT-20050401,23777560.0
HINT-20050402,25528706.0
HINT-20050403,22448702.0
HINT-20050404,22264614.0
HINT-20050405,19354208.0
HINT-20050406,9642887.0
HINT-20050407,24339030.0
HINT-20050408,21642166.0
HINT-20050409,22385114.0
HINT-20050410,14149110.0
HINT-20050411,21925126.0
HINT-20050412,25966840.0
HINT-20050413,23461814.0
HINT-20050414,22790264.0
HINT-20050415,21339906.0
HINT-20050416,22999568.0
HINT-20050417,18913780.0
HINT-20050418,13347606.0
HINT-20050419,15718608.0
HINT-20050420,20169118.0
HINT-20050421,22750322.0
HINT-20050422,25357354.0
HINT-20050423,25818554.0
HINT-20050424,15005084.0
HINT-20050425,19611086.0
HINT-20050426,24534784.0
HINT-20050427,25804454.0
HINT-20050428,16352660.0
HINT-20050429,9837804.0
HINT-20050430,25807480.0
HINT-20050501,14492647.0
HINT-20050502,7320491.5
HINT-20050503,13002303.0
HINT-20050504,16425030.0
HINT-20050505,13089893.0
HINT-20050506,22586952.0
HINT-20050507,7693199.0
HINT-20050508,20814596.0
HINT-20050509,24571802.0
HINT-20050510,24655552.0
HINT-20050511,18731168.0
HINT-20050512,14649141.0
HINT-20050513,16218300.0
HINT-20050514,28242678.0
HINT-20050515,11688065.0
HINT-20050516,25779744.0
HINT-20050517,24063184.0
HINT-20050518,21250754.0
HINT-20050519,25838166.0
HINT-20050520,26806496.0
HINT-20050521,27417492.0
HINT-20050522,21692388.0
HINT-20050523,23035852.0
HINT-20050524,24647316.0
HINT-20050525,19802478.0
HINT-20050526,15402640.0
HINT-20050527,13222569.0
HINT-20050528,18781196.0
HINT-20050529,16143307.0
HINT-20050530,23714138.0
HINT-20050531,12391726.0
HINT-20050601,25223392.0
HINT-20050602,24725730.0
HINT-20050603,7410901.0
